pump_id,name,dcode,capacity,location_details,function,location
15,สถานีสูบน้ำสามเสน,1002,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,ปากคลองสามเสน ถ.ขาว แขวงวชิรพยาบาล เขตดุสิต,การสูบระบายน้ำออกจากคลองสามเสน,POINT (100.50650341280594 13.782038381708247)
14,สถานีสูบน้ำบางซื่อ,1002,17 เครื่อง 3 ลูกบาศก์เมตร/วินาที,ปากคลองบางซื่อ ติดวัดแก้วฟ้าจุฬามณี เขตบางซื่อ,การสูบน้ำออกจากคลองบางซื่อ ซึ่งเป็นคลองหลักและมีความสัมพันธ์กันระหว่างคลองเปรมประชากรตัดผ่านช่งหน้าตลาดบางซื่อและไปบรรจบกับคลองลาดพร้าวช่วงโชค,POINT (100.51847056820453 13.800128154115008)
7,สถานีสูบน้ำพระราม 4,1033,4 เครื่อง,พื้นที่การรถไฟแห่งประเทศไทย ถ.เชื้อเพลิง แขวงคลองเตย เขตคลองเตย,การสูบระบายน้ำควบคุมระดับน้ำในอุโมงค์รับน้ำแนวถนนพระราม4 เชื่อมคลองผดุงกรุงเกษม แสนแสบ สาทร ช่องนนทรีย์ไผ่สิงโต,POINT (100.55466763949838 13.71047715228822)
16,สถานีสูบน้ำเทเวศร์,1001,"2 เครื่อง 0.3 ลูกบาศก์เมตร,5 เครื่อง3 ลูกบาศก์เมตร",ตั้งอยู่ที่ท่าน้ำเทเวศร์ ถ.กรุงเกษม เขตพระนคร,การสูบน้ำออกจากคลองผดุงกรุงเกษมเป็นคลองหลักในการระบายน้ำและการป้องกันน้ำท่วม,POINT (100.50058739173966 13.77198196877997)
13,สถานีสูบน้ำกรุงเกษม,1004,41 เครื่อง,ตั้งอยู่ที่บริเวณท่าน้ำสี่พระยา ปลายคลองผดุงกรุงเกษม เขตบางรัก,ป้องกันและแก้ไขน้ำท่วม,POINT (100.51328457297853 13.729617886085945)
12,สถานีสูบน้ำช่องนนทรี,1012,7 เครื่อง 42 ลูกบาศก์เมตร/วินาที,ตั้งอยู่บนถนนพระรามที่ 3 ตัดคลองช่องนนทรี,การสูบน้ำระบายน้ำและคบคุมระดับน้ำในคลองช่องนนทรีเชื่อมต่อกับคลองสาทรและคูน้ำกลางถนนพระรามที่ 3,POINT (100.54747987395335 13.690853817093744)
6,สถานีสูบน้ำพระโขนง,1033,51 เครื่อง,ตั้งอยู่ปลายคลองพระโขนง,การสูบระบยน้ำและควบคุมระดับน้ำในคลองพระโขนงซึ่งเชื่อมต่อคลองประเวศ คลองแสนแสบ และคลองลาดพร้าว,POINT (100.58095001842065 13.699435167331664)
5,สถานีสูบน้ำคลองเตย,1033,15 เครื่อง 30 ลูกบาศก์เมตร/วินาที,ตั้งอยู่บนทางรถไฟสายเก่า ใกล้วัดสะพาน เขตคลองเตย กรุงเทพฯ,ป้องกันและแก้ไขน้ำท่วมขังในพื้นที่รับผิดชอบประมาณ 12 ตร.กม.ในพื้นที่เขตคลองเตย,POINT (100.58926313990503 13.705391906526396)
11,สถานีสูบน้ำบางกอกใหญ่,1015,18 เครื่อง 3 ลูกบาศก์เมตร / วินาที / เครื่อง,ใกล้วัดกัลยาณ์ เขตธนบุรี กรุงเทพฯ,ดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วมรวมทั้งการป้องกันน้ำเค็มเข้าพื้นที่เขตธนบุรี บางกอกใหญ่ และบางส่วนเขตภาษีเจริญ,POINT (100.4933856937696 13.740871745324279)
8,สถานีสูบน้ำคลองชักพระ,1019,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,อยู่ใกล้สะพานข้างคลองชักพระ ถนนบางกอกน้อย-ตลิ่งชัน เขตตลิ่งชัน กรุงเทพฯ,การดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วม รวมทั้งการป้องกันน้ำเค็มเข้ามาในพื้นที่ด้านฝั่งธนบุรี เขตบางกอกน้อยและเขตตลิ่งชัน,POINT (100.4653272366959 13.778866929225577)
9,สถานีสูบน้ำคลองมอญ,1016,8 เครื่อง 3 ลูกบาศก์เมตร/วินาที,บริเวณปากคลองมอญ อยู่ในวัดเครือวัลย์ ถ.อรุณอัมรินทร์ บางกอกใหญ่ กรุงเทพฯ,การดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วมรวมทั้งการป้องกันน้ำเค็มเข้ามาในพื้นที่ด้านฝั่งธนบุรี เขตบางกอกใหญ่ บางกอกน้อย และบางส่วนเขตตลิ่งชัน,POINT (100.48481062700681 13.746894796888077)
10,สถานีสูบน้ำดาวคะนอง,1015,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,บริเวณปากคลองดาวคะนอง เขตธนบุรี กรุงเทพฯ,ดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วม รวมทั้งการป้องกันน้ำเค็มเข้าในพื้นที่เขตราษฎร์บูรณะ เขตจอมทองบางส่วนเขตทุ่งครุและบางขุนเทียน,POINT (100.48636024679813 13.695267846807663)
1,สถานีสูบน้ำคลองบางเขนเก่า,1005,3 เครื่อง 9 ลูกบาศก์เมตร/วินาที,บริเวณคูน้ำวิภาวดี เขตบางเขน,แก้ไขปัญหาน้ำท่วมบริเวณถนนวิภาวดีรังสิต พื้นที่หลักสี่ และพื้นที่ใกล้เคียง 8 ตารางกิโลเมตร,POINT (100.62420191875897 13.875538008444252)
2,สถานีสูบน้ำคลองบางเขนใหม่,1041,10 เครื่อง 30 ลูกบาศก์เมตร/วินาที,บริเวณคลองบางเขน,ถนนพหลโยธิน ถนนวิภาวดีรังสิต เพื่อระบายน้ำลงสู่คลองเปรมประชากร,POINT (100.5618400593797 13.854915936908066)
