id_pump,name,dcode,capacity,location,function
15,สถานีสูบน้ำสามเสน,1002,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,POINT (100.50650341280594 13.782038381708247),การสูบระบายน้ำออกจากคลองสามเสน
14,สถานีสูบน้ำบางซื่อ,1002,17 เครื่อง 3 ลูกบาศก์เมตร/วินาที,POINT (100.51847056820453 13.800128154115008),การสูบน้ำออกจากคลองบางซื่อ ซึ่งเป็นคลองหลักและมีความสัมพันธ์กันระหว่างคลองเปรมประชากรตัดผ่านช่งหน้าตลาดบางซื่อและไปบรรจบกับคลองลาดพร้าวช่วงโชค
7,สถานีสูบน้ำพระราม 4,1033,4 เครื่อง,POINT (100.55466763949838 13.71047715228822),การสูบระบายน้ำควบคุมระดับน้ำในอุโมงค์รับน้ำแนวถนนพระราม4 เชื่อมคลองผดุงกรุงเกษม แสนแสบ สาทร ช่องนนทรีย์ไผ่สิงโต
16,สถานีสูบน้ำเทเวศร์,1001,"2 เครื่อง 0.3 ลูกบาศก์เมตร,5 เครื่อง3 ลูกบาศก์เมตร",POINT (100.50058739173966 13.77198196877997),การสูบน้ำออกจากคลองผดุงกรุงเกษมเป็นคลองหลักในการระบายน้ำและการป้องกันน้ำท่วม
13,สถานีสูบน้ำกรุงเกษม,1004,41 เครื่อง,POINT (100.51328457297853 13.729617886085945),ป้องกันและแก้ไขน้ำท่วม
12,สถานีสูบน้ำช่องนนทรี,1012,7 เครื่อง 42 ลูกบาศก์เมตร/วินาที,POINT (100.54747987395335 13.690853817093744),การสูบน้ำระบายน้ำและคบคุมระดับน้ำในคลองช่องนนทรีเชื่อมต่อกับคลองสาทรและคูน้ำกลางถนนพระรามที่ 3
6,สถานีสูบน้ำพระโขนง,1033,51 เครื่อง,POINT (100.58095001842065 13.699435167331664),การสูบระบยน้ำและควบคุมระดับน้ำในคลองพระโขนงซึ่งเชื่อมต่อคลองประเวศ คลองแสนแสบ และคลองลาดพร้าว
5,สถานีสูบน้ำคลองเตย,1033,15 เครื่อง 30 ลูกบาศก์เมตร/วินาที,POINT (100.58926313990503 13.705391906526396),ป้องกันและแก้ไขน้ำท่วมขังในพื้นที่รับผิดชอบประมาณ 12 ตร.กม.ในพื้นที่เขตคลองเตย
11,สถานีสูบน้ำบางกอกใหญ่,1015,18 เครื่อง 3 ลูกบาศก์เมตร / วินาที / เครื่อง,POINT (100.4933856937696 13.740871745324279),ดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วมรวมทั้งการป้องกันน้ำเค็มเข้าพื้นที่เขตธนบุรี บางกอกใหญ่ และบางส่วนเขตภาษีเจริญ
8,สถานีสูบน้ำคลองชักพระ,1019,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,POINT (100.4653272366959 13.778866929225577),การดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วม รวมทั้งการป้องกันน้ำเค็มเข้ามาในพื้นที่ด้านฝั่งธนบุรี เขตบางกอกน้อยและเขตตลิ่งชัน
9,สถานีสูบน้ำคลองมอญ,1016,8 เครื่อง 3 ลูกบาศก์เมตร/วินาที,POINT (100.48481062700681 13.746894796888077),การดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วมรวมทั้งการป้องกันน้ำเค็มเข้ามาในพื้นที่ด้านฝั่งธนบุรี เขตบางกอกใหญ่ บางกอกน้อย และบางส่วนเขตตลิ่งชัน
10,สถานีสูบน้ำดาวคะนอง,1015,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,POINT (100.48636024679813 13.695267846807663),ดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วม รวมทั้งการป้องกันน้ำเค็มเข้าในพื้นที่เขตราษฎร์บูรณะ เขตจอมทองบางส่วนเขตทุ่งครุและบางขุนเทียน
1,สถานีสูบน้ำคลองบางเขนเก่า,1005,3 เครื่อง 9 ลูกบาศก์เมตร/วินาที,POINT (100.62420191875897 13.875538008444252),แก้ไขปัญหาน้ำท่วมบริเวณถนนวิภาวดีรังสิต พื้นที่หลักสี่ และพื้นที่ใกล้เคียง 8 ตารางกิโลเมตร
2,สถานีสูบน้ำคลองบางเขนใหม่,1041,10 เครื่อง 30 ลูกบาศก์เมตร/วินาที,POINT (100.5618400593797 13.854915936908066),ถนนพหลโยธิน ถนนวิภาวดีรังสิต เพื่อระบายน้ำลงสู่คลองเปรมประชากร
3,สถานีสูบน้ำคลองส้มป่อย,1037,2 เครื่อง 2 ลูกบาศก์เมตร/วินาที,POINT (100.52100521704187 13.75649720209355),ถนนเพชรบุรี
4,สถานีสูบน้ำวัดสร้อยทอง,1029,2 เครื่อง 2 ลูกบาศก์เมตร/วินาที,POINT (100.52131984624491 13.81313972672177),
